beta,attack,seed,ap
0.1,clean,0,0.7325270817759302
0.1,boost,0,0.04
0.1,alie,0,0.7109227520836111
0.15,clean,0,0.7553485055692514
0.15,boost,0,0.04
0.15,alie,0,0.6830467106287547
0.2,clean,0,0.7553485055692514
0.2,boost,0,0.04
0.2,alie,0,0.6830467106287547
0.25,clean,0,0.7614984683347629
0.25,boost,0,0.7078906334459478
0.25,alie,0,0.6442530841317672
0.3,clean,0,0.7614984683347629
0.3,boost,0,0.7078906334459478
0.3,alie,0,0.6442530841317672
0.4,clean,0,0.7695854267657314
0.4,boost,0,0.7212300949216853
0.4,alie,0,0.5698813312668526
0.1,clean,1,0.5451242479347413
0.1,boost,1,0.02861111111111111
0.1,alie,1,0.40828182868101687
0.15,clean,1,0.5102454057958232
0.15,boost,1,0.02861111111111111
0.15,alie,1,0.3448260390158646
0.2,clean,1,0.5102454057958232
0.2,boost,1,0.02861111111111111
0.2,alie,1,0.3448260390158646
0.25,clean,1,0.5173705900196796
0.25,boost,1,0.3151265275511739
0.25,alie,1,0.32308948398041565
0.3,clean,1,0.5173705900196796
0.3,boost,1,0.3151265275511739
0.3,alie,1,0.32308948398041565
0.4,clean,1,0.566065180640852
0.4,boost,1,0.32424694769427687
0.4,alie,1,0.30638107749372356
0.1,clean,2,0.7502965422584845
0.1,boost,2,0.04416666666666667
0.1,alie,2,0.711451738411631
0.15,clean,2,0.7609714979052541
0.15,boost,2,0.04416666666666667
0.15,alie,2,0.6985312297190005
0.2,clean,2,0.7609714979052541
0.2,boost,2,0.04416666666666667
0.2,alie,2,0.6985312297190005
0.25,clean,2,0.7531290593724573
0.25,boost,2,0.6443910510574994
0.25,alie,2,0.6670159296026069
0.3,clean,2,0.7531290593724573
0.3,boost,2,0.6443910510574994
0.3,alie,2,0.6670159296026069
0.4,clean,2,0.7608862013176892
0.4,boost,2,0.7020191432748977
0.4,alie,2,0.6653649886462853
0.1,clean,3,0.5027401857798818
0.1,boost,3,0.03263888888888889
0.1,alie,3,0.2930528005779629
0.15,clean,3,0.4570978931657284
0.15,boost,3,0.03263888888888889
0.15,alie,3,0.2836115683011554
0.2,clean,3,0.4570978931657284
0.2,boost,3,0.03263888888888889
0.2,alie,3,0.2836115683011554
0.25,clean,3,0.46201795054796924
0.25,boost,3,0.24972385515033993
0.25,alie,3,0.27505825186999877
0.3,clean,3,0.46201795054796924
0.3,boost,3,0.24972385515033993
0.3,alie,3,0.27505825186999877
0.4,clean,3,0.45792774973358097
0.4,boost,3,0.26752424155647203
0.4,alie,3,0.27571442786674966
0.1,clean,4,0.7687379616161697
0.1,boost,4,0.03958333333333333
0.1,alie,4,0.6662610403662519
0.15,clean,4,0.7511675189602728
0.15,boost,4,0.03958333333333333
0.15,alie,4,0.6440851036785371
0.2,clean,4,0.7511675189602728
0.2,boost,4,0.03958333333333333
0.2,alie,4,0.6440851036785371
0.25,clean,4,0.7312401574431558
0.25,boost,4,0.5839596861959236
0.25,alie,4,0.6226855783596847
0.3,clean,4,0.7312401574431558
0.3,boost,4,0.5839596861959236
0.3,alie,4,0.6226855783596847
0.4,clean,4,0.7337664088376974
0.4,boost,4,0.6061433099473147
0.4,alie,4,0.6167722960220567
0.1,clean,5,0.6168670431766127
0.1,boost,5,0.028333333333333332
0.1,alie,5,0.4749714556522688
0.15,clean,5,0.5613366940134358
0.15,boost,5,0.028333333333333332
0.15,alie,5,0.3547014660782328
0.2,clean,5,0.5613366940134358
0.2,boost,5,0.028333333333333332
0.2,alie,5,0.3547014660782328
0.25,clean,5,0.5839570084618056
0.25,boost,5,0.3207293280006683
0.25,alie,5,0.3161008320226371
0.3,clean,5,0.5839570084618056
0.3,boost,5,0.3207293280006683
0.3,alie,5,0.3161008320226371
0.4,clean,5,0.6668130628287322
0.4,boost,5,0.216080100580856
0.4,alie,5,0.21924696574029218
0.1,clean,6,0.3523619210876221
0.1,boost,6,0.023892207251007085
0.1,alie,6,0.2257854093150896
0.15,clean,6,0.3261466319718219
0.15,boost,6,0.023892207251007085
0.15,alie,6,0.19901381640235094
0.2,clean,6,0.3261466319718219
0.2,boost,6,0.023892207251007085
0.2,alie,6,0.19901381640235094
0.25,clean,6,0.32754608877594377
0.25,boost,6,0.0927565130678878
0.25,alie,6,0.16303271328260927
0.3,clean,6,0.32754608877594377
0.3,boost,6,0.0927565130678878
0.3,alie,6,0.16303271328260927
0.4,clean,6,0.3069231883456046
0.4,boost,6,0.07596769314511084
0.4,alie,6,0.15174215136590316
0.1,clean,7,0.7137694094356626
0.1,boost,7,0.036944444444444446
0.1,alie,7,0.5747646582217345
0.15,clean,7,0.7271349128480334
0.15,boost,7,0.036944444444444446
0.15,alie,7,0.559143310554174
0.2,clean,7,0.7271349128480334
0.2,boost,7,0.036944444444444446
0.2,alie,7,0.559143310554174
0.25,clean,7,0.7288621522466922
0.25,boost,7,0.4122005648446973
0.25,alie,7,0.5185100134803541
0.3,clean,7,0.7288621522466922
0.3,boost,7,0.4122005648446973
0.3,alie,7,0.5185100134803541
0.4,clean,7,0.7290954349328336
0.4,boost,7,0.49198464057906677
0.4,alie,7,0.5270042095755356
0.1,clean,8,0.43269960904048405
0.1,boost,8,0.028055555555555556
0.1,alie,8,0.36275316027713356
0.15,clean,8,0.4094667773747015
0.15,boost,8,0.028055555555555556
0.15,alie,8,0.35290909091675665
0.2,clean,8,0.4094667773747015
0.2,boost,8,0.028055555555555556
0.2,alie,8,0.35290909091675665
0.25,clean,8,0.40773906693536555
0.25,boost,8,0.3348885246057568
0.25,alie,8,0.3513059665008098
0.3,clean,8,0.40773906693536555
0.3,boost,8,0.3348885246057568
0.3,alie,8,0.3513059665008098
0.4,clean,8,0.403001631138925
0.4,boost,8,0.33901360807949543
0.4,alie,8,0.35117942340176134
0.1,clean,9,0.735978208958028
0.1,boost,9,0.03652777777777778
0.1,alie,9,0.5059892893790675
0.15,clean,9,0.7687636367433973
0.15,boost,9,0.03652777777777778
0.15,alie,9,0.4891574283872835
0.2,clean,9,0.7687636367433973
0.2,boost,9,0.03652777777777778
0.2,alie,9,0.4891574283872835
0.25,clean,9,0.7548581329821851
0.25,boost,9,0.3599652358779625
0.25,alie,9,0.4694853283230558
0.3,clean,9,0.7548581329821851
0.3,boost,9,0.3599652358779625
0.3,alie,9,0.4694853283230558
0.4,clean,9,0.7401881846137441
0.4,boost,9,0.5040918734036764
0.4,alie,9,0.48140170047753056
