cond,seed,ap
clean,0,0.5667409991848006
poisoned,0,0.014218009478672985
trimmed,0,0.40128914739774924
clean,1,0.03347454845179361
poisoned,1,0.014218009478672985
trimmed,1,0.039941864438737366
clean,2,0.01041398615736366
poisoned,2,0.004739336492890996
trimmed,2,0.005929740937451823
clean,3,0.6127515069588502
poisoned,3,0.009478672985781991
trimmed,3,0.42092040942799475
clean,4,0.3860481943582023
poisoned,4,0.009478672985781991
trimmed,4,0.11383524910798522
clean,5,0.5560146261153625
poisoned,5,0.018957345971563982
trimmed,5,0.568742654802034
clean,6,0.2883654857225124
poisoned,6,0.009478672985781991
trimmed,6,0.2560219818488557
clean,7,0.3582652865078852
poisoned,7,0.004739336492890996
trimmed,7,0.34454282572929584
clean,8,0.4427798869408146
poisoned,8,0.014218009478672985
trimmed,8,0.49141472553058363
clean,9,0.5044038852348035
poisoned,9,0.018957345971563982
trimmed,9,0.65110424621619
