agg,frac,attack,seed,ap
fedavg,0,clean,0,0.7325270817759302
fedavg,1,boost,0,0.04
fedavg,1,alie,0,0.779549490852423
fedavg,2,boost,0,0.04
fedavg,2,alie,0,0.7109227520836111
fedavg,3,boost,0,0.04
fedavg,3,alie,0,0.6051261210812705
trimmed,0,clean,0,0.7553485055692514
trimmed,1,boost,0,0.8093097414970202
trimmed,1,alie,0,0.7737342239632632
trimmed,2,boost,0,0.04
trimmed,2,alie,0,0.6830467106287547
trimmed,3,boost,0,0.04
trimmed,3,alie,0,0.5491101429854358
krum,0,clean,0,0.7644017190649403
krum,1,boost,0,0.8186707428255023
krum,1,alie,0,0.7395210656246013
krum,2,boost,0,0.74468365117111
krum,2,alie,0,0.4765264576053116
krum,3,boost,0,0.5384557032476065
krum,3,alie,0,0.44718963137026396
fedavg,0,clean,1,0.5451242479347413
fedavg,1,boost,1,0.02861111111111111
fedavg,1,alie,1,0.5243876007452724
fedavg,2,boost,1,0.02861111111111111
fedavg,2,alie,1,0.40828182868101687
fedavg,3,boost,1,0.02861111111111111
fedavg,3,alie,1,0.48770518037139043
trimmed,0,clean,1,0.5102454057958232
trimmed,1,boost,1,0.49363922263805404
trimmed,1,alie,1,0.4789822477661967
trimmed,2,boost,1,0.02861111111111111
trimmed,2,alie,1,0.3448260390158646
trimmed,3,boost,1,0.02861111111111111
trimmed,3,alie,1,0.4050276533291703
krum,0,clean,1,0.38887943486547927
krum,1,boost,1,0.6620753192163513
krum,1,alie,1,0.41885679863170594
krum,2,boost,1,0.4235800506359003
krum,2,alie,1,0.2647055767056667
krum,3,boost,1,0.5189285507321829
krum,3,alie,1,0.32031294869849924
fedavg,0,clean,2,0.7502965422584845
fedavg,1,boost,2,0.04416666666666667
fedavg,1,alie,2,0.7378817030416495
fedavg,2,boost,2,0.04416666666666667
fedavg,2,alie,2,0.711451738411631
fedavg,3,boost,2,0.04416666666666667
fedavg,3,alie,2,0.6916559231930557
trimmed,0,clean,2,0.7609714979052541
trimmed,1,boost,2,0.7404575202512009
trimmed,1,alie,2,0.7371858496030309
trimmed,2,boost,2,0.04416666666666667
trimmed,2,alie,2,0.6985312297190005
trimmed,3,boost,2,0.04416666666666667
trimmed,3,alie,2,0.6704008359144036
krum,0,clean,2,0.7040152134034726
krum,1,boost,2,0.8063729382496948
krum,1,alie,2,0.6421187768012098
krum,2,boost,2,0.7514008115688181
krum,2,alie,2,0.5567178576694969
krum,3,boost,2,0.913107153658643
krum,3,alie,2,0.49808549749069136
fedavg,0,clean,3,0.5027401857798818
fedavg,1,boost,3,0.03263888888888889
fedavg,1,alie,3,0.3494681755507845
fedavg,2,boost,3,0.03263888888888889
fedavg,2,alie,3,0.2930528005779629
fedavg,3,boost,3,0.03263888888888889
fedavg,3,alie,3,0.30989683766125253
trimmed,0,clean,3,0.4570978931657284
trimmed,1,boost,3,0.31723714893258315
trimmed,1,alie,3,0.3477792787922829
trimmed,2,boost,3,0.03263888888888889
trimmed,2,alie,3,0.2836115683011554
trimmed,3,boost,3,0.03263888888888889
trimmed,3,alie,3,0.2929836359487288
krum,0,clean,3,0.3950250172145777
krum,1,boost,3,0.3579833696500175
krum,1,alie,3,0.3134093721959207
krum,2,boost,3,0.3819671043377325
krum,2,alie,3,0.22952371434587596
krum,3,boost,3,0.4256760030198382
krum,3,alie,3,0.25054773731623864
fedavg,0,clean,4,0.7687379616161697
fedavg,1,boost,4,0.03958333333333333
fedavg,1,alie,4,0.6899824607747745
fedavg,2,boost,4,0.03958333333333333
fedavg,2,alie,4,0.6662610403662519
fedavg,3,boost,4,0.03958333333333333
fedavg,3,alie,4,0.6433081303577556
trimmed,0,clean,4,0.7511675189602728
trimmed,1,boost,4,0.6501304554907289
trimmed,1,alie,4,0.6759777042297092
trimmed,2,boost,4,0.03958333333333333
trimmed,2,alie,4,0.6440851036785371
trimmed,3,boost,4,0.03958333333333333
trimmed,3,alie,4,0.6063363014125515
krum,0,clean,4,0.6399912461619681
krum,1,boost,4,0.6399912461619681
krum,1,alie,4,0.5527568523523068
krum,2,boost,4,0.643574208725509
krum,2,alie,4,0.47239009787060104
krum,3,boost,4,0.630248147737641
krum,3,alie,4,0.44542607604492634
fedavg,0,clean,5,0.6168670431766127
fedavg,1,boost,5,0.028333333333333332
fedavg,1,alie,5,0.54436480515232
fedavg,2,boost,5,0.028333333333333332
fedavg,2,alie,5,0.4749714556522688
fedavg,3,boost,5,0.028333333333333332
fedavg,3,alie,5,0.3083618040250584
trimmed,0,clean,5,0.5613366940134358
trimmed,1,boost,5,0.4656334178687874
trimmed,1,alie,5,0.45745795192137867
trimmed,2,boost,5,0.028333333333333332
trimmed,2,alie,5,0.3547014660782328
trimmed,3,boost,5,0.028333333333333332
trimmed,3,alie,5,0.26263090501456454
krum,0,clean,5,0.2811279497176111
krum,1,boost,5,0.20203000721636635
krum,1,alie,5,0.20308345230189545
krum,2,boost,5,0.20203000721636635
krum,2,alie,5,0.18013827222393983
krum,3,boost,5,0.20203000721636635
krum,3,alie,5,0.20841755812014162
fedavg,0,clean,6,0.3523619210876221
fedavg,1,boost,6,0.023892207251007085
fedavg,1,alie,6,0.3105561563154366
fedavg,2,boost,6,0.023892207251007085
fedavg,2,alie,6,0.2257854093150896
fedavg,3,boost,6,0.023892207251007085
fedavg,3,alie,6,0.15113403097541112
trimmed,0,clean,6,0.3261466319718219
trimmed,1,boost,6,0.22849339913534275
trimmed,1,alie,6,0.265847983252485
trimmed,2,boost,6,0.023892207251007085
trimmed,2,alie,6,0.19901381640235094
trimmed,3,boost,6,0.023892207251007085
trimmed,3,alie,6,0.11267639040928953
krum,0,clean,6,0.24618838185031214
krum,1,boost,6,0.23745058446529915
krum,1,alie,6,0.10411111462082279
krum,2,boost,6,0.1396438087761816
krum,2,alie,6,0.21089026830936833
krum,3,boost,6,0.108221126250451
krum,3,alie,6,0.10078014393405874
fedavg,0,clean,7,0.7137694094356626
fedavg,1,boost,7,0.036944444444444446
fedavg,1,alie,7,0.6338172424000057
fedavg,2,boost,7,0.036944444444444446
fedavg,2,alie,7,0.5747646582217345
fedavg,3,boost,7,0.036944444444444446
fedavg,3,alie,7,0.515455913387837
trimmed,0,clean,7,0.7271349128480334
trimmed,1,boost,7,0.6229878638883644
trimmed,1,alie,7,0.6202002295543891
trimmed,2,boost,7,0.036944444444444446
trimmed,2,alie,7,0.559143310554174
trimmed,3,boost,7,0.036944444444444446
trimmed,3,alie,7,0.4929764795477961
krum,0,clean,7,0.6374605905030873
krum,1,boost,7,0.5693622743450301
krum,1,alie,7,0.5485604010699457
krum,2,boost,7,0.5518918877578736
krum,2,alie,7,0.4507757703014753
krum,3,boost,7,0.523286370934202
krum,3,alie,7,0.4235148054768731
fedavg,0,clean,8,0.43269960904048405
fedavg,1,boost,8,0.028055555555555556
fedavg,1,alie,8,0.3931610495332974
fedavg,2,boost,8,0.028055555555555556
fedavg,2,alie,8,0.36275316027713356
fedavg,3,boost,8,0.028055555555555556
fedavg,3,alie,8,0.3543698585287563
trimmed,0,clean,8,0.4094667773747015
trimmed,1,boost,8,0.36672473516894416
trimmed,1,alie,8,0.37640245937647193
trimmed,2,boost,8,0.028055555555555556
trimmed,2,alie,8,0.35290909091675665
trimmed,3,boost,8,0.028055555555555556
trimmed,3,alie,8,0.3439200828203481
krum,0,clean,8,0.3879313928308049
krum,1,boost,8,0.3879313928308049
krum,1,alie,8,0.364664788704336
krum,2,boost,8,0.36359476808653524
krum,2,alie,8,0.34502968921651533
krum,3,boost,8,0.3844067547217705
krum,3,alie,8,0.330314803498685
fedavg,0,clean,9,0.735978208958028
fedavg,1,boost,9,0.03652777777777778
fedavg,1,alie,9,0.6928791148504696
fedavg,2,boost,9,0.03652777777777778
fedavg,2,alie,9,0.5059892893790675
fedavg,3,boost,9,0.03652777777777778
fedavg,3,alie,9,0.4572171507787025
trimmed,0,clean,9,0.7687636367433973
trimmed,1,boost,9,0.7021660302130944
trimmed,1,alie,9,0.711937377234157
trimmed,2,boost,9,0.03652777777777778
trimmed,2,alie,9,0.4891574283872835
trimmed,3,boost,9,0.03652777777777778
trimmed,3,alie,9,0.4273233225902415
krum,0,clean,9,0.7081722959127086
krum,1,boost,9,0.6885808071100394
krum,1,alie,9,0.6919173181680612
krum,2,boost,9,0.6835737742513145
krum,2,alie,9,0.45129646592972955
krum,3,boost,9,0.6844198772476777
krum,3,alie,9,0.24748030977041424
