rs,overlap,seed,lr_ap,gnn_ap
0.0,0.5,0,0.9999999999999999,0.8650609158102343
0.5,0.5,0,0.9883413848631238,0.8770257924988097
1.0,0.5,0,0.05565105210017141,0.45308840942383866
1.0,0.0,0,0.05096593776584231,0.9008468081934602
1.0,1.0,0,0.039896351734607725,0.11650907145507988
0.0,0.5,1,0.9999999999999998,0.8431511431247003
0.5,0.5,1,0.9908466819221966,0.8203491853612486
1.0,0.5,1,0.053804240048372066,0.2197108347475668
1.0,0.0,1,0.044189610978910415,0.8168513762311954
1.0,1.0,1,0.0344578219179333,0.0472692235684333
0.0,0.5,2,0.9999999999999998,0.8922657520995471
0.5,0.5,2,0.9547637160404692,0.89324081307164
1.0,0.5,2,0.05435481145137,0.6504548044018336
1.0,0.0,2,0.033603963968715164,0.8971370003446977
1.0,1.0,2,0.035621335123450545,0.16047735521777248
0.0,0.5,3,1.0,0.870395186759775
0.5,0.5,3,0.9747533000128157,0.8237484737484737
1.0,0.5,3,0.04517249086639165,0.45008060689329804
1.0,0.0,3,0.031436485708473585,0.8315187250534897
1.0,1.0,3,0.052448689252477504,0.15694685034733852
0.0,0.5,4,1.0000000000000002,0.9346098608083383
0.5,0.5,4,0.9802916818901475,0.9222660671171762
1.0,0.5,4,0.04145681361647453,0.36593588695632584
1.0,0.0,4,0.04832517704098026,0.9623345911949686
1.0,1.0,4,0.04003184604513461,0.05218701134471179
0.0,0.5,5,1.0000000000000002,0.9661290322580645
0.5,0.5,5,0.9819827586206897,0.9638888888888889
1.0,0.5,5,0.050845567843272946,0.38593564564717214
1.0,0.0,5,0.06612726944487693,0.8512659361282134
1.0,1.0,5,0.04307172290835134,0.07969076430206729
0.0,0.5,6,0.9999999999999999,0.8578960772969989
0.5,0.5,6,0.9492731591471086,0.7484740515972615
1.0,0.5,6,0.029784793044714607,0.6169213487084619
1.0,0.0,6,0.0439557555472548,0.7849115094794268
1.0,1.0,6,0.02498876449164011,0.03566411836949095
0.0,0.5,7,0.9999999999999998,0.9368664735177231
0.5,0.5,7,0.9902622187271796,0.9420566275829432
1.0,0.5,7,0.09892033200914724,0.5732689623179757
1.0,0.0,7,0.07332326099419942,0.851281479989531
1.0,1.0,7,0.06588902629206521,0.04279023974919482
0.0,0.5,8,0.9999999999999999,0.860162433999613
0.5,0.5,8,0.9185817159031444,0.8560161500497634
1.0,0.5,8,0.019360291072760608,0.20455192646866963
1.0,0.0,8,0.04190191549814145,0.974002100840336
1.0,1.0,8,0.024078014711270967,0.07577571533050285
0.0,0.5,9,0.9999999999999998,0.9232623671478162
0.5,0.5,9,0.9776714513556617,0.9246082575308012
1.0,0.5,9,0.04540080138475213,0.611299079871049
1.0,0.0,9,0.024532478640909256,0.5700624646264919
1.0,1.0,9,0.027014897890308445,0.1326288285898617
