agg,z,seed,ap
fedavg,0.0,0,0.7722020621559823
fedavg,0.5,0,0.7444062374627219
fedavg,1.0,0,0.7109227520836111
fedavg,1.5,0,0.6713347845540151
fedavg,2.0,0,0.628381333033201
fedavg,3.0,0,0.5419593147691414
trimmed,0.0,0,0.769387866642572
trimmed,0.5,0,0.731682873156641
trimmed,1.0,0,0.6830467106287547
trimmed,1.5,0,0.6366114624290762
trimmed,2.0,0,0.6055546784530784
trimmed,3.0,0,0.5483477485241183
krum,0.0,0,0.7618869070632095
krum,0.5,0,0.628381333033201
krum,1.0,0,0.4765264576053116
krum,1.5,0,0.42995519626348633
krum,2.0,0,0.4570722037010339
krum,3.0,0,0.74468365117111
fedavg,0.0,1,0.5478972597037132
fedavg,0.5,1,0.4741265229874052
fedavg,1.0,1,0.40828182868101687
fedavg,1.5,1,0.35292250226400956
fedavg,2.0,1,0.31142921084406805
fedavg,3.0,1,0.27090987764719743
trimmed,0.0,1,0.5113257000157384
trimmed,0.5,1,0.41817626132536395
trimmed,1.0,1,0.3448260390158646
trimmed,1.5,1,0.30027593454772955
trimmed,2.0,1,0.285814556367973
trimmed,3.0,1,0.2700774984089733
krum,0.0,1,0.513561808603798
krum,0.5,1,0.31142921084406805
krum,1.0,1,0.2647055767056667
krum,1.5,1,0.17083968979625622
krum,2.0,1,0.2332059638539448
krum,3.0,1,0.4235800506359003
fedavg,0.0,2,0.7785492560402466
fedavg,0.5,2,0.7466303279883298
fedavg,1.0,2,0.711451738411631
fedavg,1.5,2,0.6738924745880119
fedavg,2.0,2,0.6347652498284342
fedavg,3.0,2,0.5589737924736513
trimmed,0.0,2,0.7922354805742593
trimmed,0.5,2,0.7484884579692018
trimmed,1.0,2,0.6985312297190005
trimmed,1.5,2,0.648579543717485
trimmed,2.0,2,0.6122427304184608
trimmed,3.0,2,0.5607423825355092
krum,0.0,2,0.7756937897999314
krum,0.5,2,0.6502401631800456
krum,1.0,2,0.5567178576694969
krum,1.5,2,0.5450615409658319
krum,2.0,2,0.7399739843047933
krum,3.0,2,0.7514008115688181
fedavg,0.0,3,0.3394580481947945
fedavg,0.5,3,0.315929009996652
fedavg,1.0,3,0.2930528005779629
fedavg,1.5,3,0.2726569317364143
fedavg,2.0,3,0.258418823739557
fedavg,3.0,3,0.23861746349829555
trimmed,0.0,3,0.34901331844334166
trimmed,0.5,3,0.3134686312853297
trimmed,1.0,3,0.2836115683011554
trimmed,1.5,3,0.25931438499112053
trimmed,2.0,3,0.24722745209852726
trimmed,3.0,3,0.2330538255954821
krum,0.0,3,0.34796393020190414
krum,0.5,3,0.27959306716876847
krum,1.0,3,0.22952371434587596
krum,1.5,3,0.2414948025359142
krum,2.0,3,0.3175029990701365
krum,3.0,3,0.3819671043377325
fedavg,0.0,4,0.7043099831984996
fedavg,0.5,4,0.6867366111791536
fedavg,1.0,4,0.6662610403662519
fedavg,1.5,4,0.6425834296950207
fedavg,2.0,4,0.615517460730213
fedavg,3.0,4,0.5485984755109488
trimmed,0.0,4,0.6993896932174894
trimmed,0.5,4,0.6742611312585818
trimmed,1.0,4,0.6440851036785371
trimmed,1.5,4,0.6112216666076378
trimmed,2.0,4,0.5894652876996201
trimmed,3.0,4,0.5435802326102935
krum,0.0,4,0.7043099831984996
krum,0.5,4,0.615517460730213
krum,1.0,4,0.47239009787060104
krum,1.5,4,0.4069289411298359
krum,2.0,4,0.549641432293466
krum,3.0,4,0.643574208725509
fedavg,0.0,5,0.6027699676008718
fedavg,0.5,5,0.5400563432968825
fedavg,1.0,5,0.4749714556522688
fedavg,1.5,5,0.4116471996605182
fedavg,2.0,5,0.3483766759706388
fedavg,3.0,5,0.2377588504917294
trimmed,0.0,5,0.5233339416113846
trimmed,0.5,5,0.4360348902830165
trimmed,1.0,5,0.3547014660782328
trimmed,1.5,5,0.311790009590331
